Alternate URL,Article Abstract,Author Biography,Banner,Biographical Categories,Body,Byline,Column Name,Column Number,Correction Date,Correction Text,Credit,Dateline,Day Of Week,Descriptors,Feature Page,General Online Descriptors,Guid,Headline,Kicker,Lead Paragraph,Locations,Names,News Desk,Normalized Byline,Online Descriptors,Online Headline,Online Lead Paragraph,Online Locations,Online Organizations,Online People,Online Section,Online Titles,Organizations,Page,People,Publication Date,Publication Day Of Month,Publication Month,Publication Year,Section,Series Name,Slug,Taxonomic Classifiers,Titles,Types Of Material,Url,Word Count,Filename,Sentiment and score,Sentiment,Score
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*FEDERAL RESOURCES Qtr to Oct 31 1986 1985 Revenue 44,000 107,000 Net loss 214,000 759,000 6mo rev 123,000 455,000 Net loss 544,000 1,014,000 The company is listed on the Boston Stock Exchange. *3*** COMPANY REPORTS ** *3*FEDERAL RESOURCES Qtr to Oct 31 1986 1985 Revenue 44,000 107,000 Net loss 214,000 759,000 6mo rev 123,000 455,000 Net loss 544,000 1,014,000 The company is listed on the Boston Stock Exchange.",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,10,FEDERAL RESOURCES reports earnings for Qtr to Oct 31,,"LEAD: *3*** COMPANY REPORTS ** *3*FEDERAL RESOURCES Qtr to Oct 31 1986 1985 Revenue 44,000 107,000 Net loss 214,000 759,000 6mo rev 123,000 455,000 Net loss 544,000 1,014,000 The company is listed on the Boston Stock Exchange.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71738F932A35752C0A961948260,48,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000010.xml,"('NEGATIVE', 0.985946774482727)",NEGATIVE,0.985946774482727
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*FEDERATED GROUP (OTC) Qtr to Nov 30 1986 1985 Sales 106,530,000 89,251,000 Net loss 575,000 b2,811,000 Share earns - .26 9mo sales 293,584,000 241,126,000 Net inc 808,000 8,300,000 Share earns .07 .76 *3*** COMPANY REPORTS ** *3*FEDERATED GROUP (OTC) Qtr to Nov 30 1986 1985 Sales 106,530,000 89,251,000 Net loss 575,000 b2,811,000 Share earns - .26 9mo sales 293,584,000 241,126,000 Net inc 808,000 8,300,000 Share earns .07 .76 b-Net income",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,11,FEDERATED GROUP reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*FEDERATED GROUP (OTC) Qtr to Nov 30 1986 1985 Sales 106,530,000 89,251,000 Net loss 575,000 b2,811,000 Share earns - .26 9mo sales 293,584,000 241,126,000 Net inc 808,000 8,300,000 Share earns .07 .76",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71438F932A35752C0A961948260,53,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000011.xml,"('NEGATIVE', 0.9899145364761353)",NEGATIVE,0.9899145364761353
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*FRIES ENTERTAINMENT (AMEX) Qtr to Nov 30 1986 1985 Revenue 10,146,000 4,858,000 Net loss b1,256,000 c473,000 Share earns - .09 Shares outst 5,267,500 5,202,000 6mo rev 15,981,000 9,428,000 Net loss 1,370,000 c678,000 Share earns - .13 *3*** COMPANY REPORTS ** *3*FRIES ENTERTAINMENT (AMEX) Qtr to Nov 30 1986 1985 Revenue 10,146,000 4,858,000 Net loss b1,256,000 c473,000 Share earns - .09 Shares outst 5,267,500 5,202,000 6mo rev 15,981,000 9,428,000 Net loss 1,370,000 c678,00",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,12,FRIES ENTERTAINMENT reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*FRIES ENTERTAINMENT (AMEX) Qtr to Nov 30 1986 1985 Revenue 10,146,000 4,858,000 Net loss b1,256,000 c473,000 Share earns - .09 Shares outst 5,267,500 5,202,000 6mo rev 15,981,000 9,428,000 Net loss 1,370,000 c678,000 Share earns - .13",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71538F932A35752C0A961948260,70,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000012.xml,"('NEGATIVE', 0.9942024350166321)",NEGATIVE,0.9942024350166321
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*GUEST SUPPLY (OTC) Qtr to Sept 30 1986 1985 Sales 9,211,000 5,672,000 Net loss 513,000 b549,000 Share earns - .24 Shares outst 2,720,000 2,333,000 Yr sales 33,162,000 18,084,000 Net inc 812,000 1,235,000 Share earns .31 .68 Shares outst 2,582,000 1,824,000 *3*** COMPANY REPORTS ** *3*GUEST SUPPLY (OTC) Qtr to Sept 30 1986 1985 Sales 9,211,000 5,672,000 Net loss 513,000 b549,000 Share earns - .24 Shares outst 2,720,000 2,333,000 Yr sales 33,162,000 18,084,000 Net inc 812,000",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,13,GUEST SUPPLY reports earnings for Qtr to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*GUEST SUPPLY (OTC) Qtr to Sept 30 1986 1985 Sales 9,211,000 5,672,000 Net loss 513,000 b549,000 Share earns - .24 Shares outst 2,720,000 2,333,000 Yr sales 33,162,000 18,084,000 Net inc 812,000 1,235,000 Share earns .31 .68 Shares outst 2,582,000 1,824,000",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71238F932A35752C0A961948260,64,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000013.xml,"('NEGATIVE', 0.9942283034324646)",NEGATIVE,0.9942283034324646
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*HUMANA INC (NYSE) Qtr to Nov 30 1986 1985 Revenue 927,707,000 802,721,000 Net inc 40,164,000 56,056,000 Share earns .41 .57 Shares outst 102,923,607 102,951,464 *3*** COMPANY REPORTS ** *3*HUMANA INC (NYSE) Qtr to Nov 30 1986 1985 Revenue 927,707,000 802,721,000 Net inc 40,164,000 56,056,000 Share earns .41 .57 Shares outst 102,923,607 102,951,464",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,14,HUMANA INC reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*HUMANA INC (NYSE) Qtr to Nov 30 1986 1985 Revenue 927,707,000 802,721,000 Net inc 40,164,000 56,056,000 Share earns .41 .57 Shares outst 102,923,607 102,951,464",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71338F932A35752C0A961948260,41,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000014.xml,"('NEGATIVE', 0.9759591221809387)",NEGATIVE,0.9759591221809387
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*INTERNATIONAL CLINICAL LABOFRATORIES (OTC) Qtr to Nov 30 1986 1985 Revenue 45,582,000 39,608,000 Net inc 247,000 739,000 Share earns .03 .10 Shares outst 7,709,000 7,381,000 *3*** COMPANY REPORTS ** *3*INTERNATIONAL CLINICAL LABOFRATORIES (OTC) Qtr to Nov 30 1986 1985 Revenue 45,582,000 39,608,000 Net inc 247,000 739,000 Share earns .03 .10 Shares outst 7,709,000 7,381,000",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,15,INTERNATIONAL CLINICAL LABOFRATORIES reports earnings for Qtr to Nov 30,,"LEAD: *3*** COMPANY REPORTS ** *3*INTERNATIONAL CLINICAL LABOFRATORIES (OTC) Qtr to Nov 30 1986 1985 Revenue 45,582,000 39,608,000 Net inc 247,000 739,000 Share earns .03 .10 Shares outst 7,709,000 7,381,000",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71038F932A35752C0A961948260,43,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000015.xml,"('NEGATIVE', 0.9850156307220459)",NEGATIVE,0.9850156307220459
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*INTERSTATE BAKERIES (NYSE) 12wks to Nov 15 1986 1985 Sales 172,219,000 167,668,000 Net inc b3,486,000 c3,922,000 Share earns .45 .53 24wk sales 341,919,000 334,537,000 Net inc b6,546,000 c5,753,000 Share earns .85 .77 *3*** COMPANY REPORTS ** *3*INTERSTATE BAKERIES (NYSE) 12wks to Nov 15 1986 1985 Sales 172,219,000 167,668,000 Net inc b3,486,000 c3,922,000 Share earns .45 .53 24wk sales 341,919,000 334,537,000 Net inc b6,546,000 c5,753,000 Share earns .85 .77 b-After extrao",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,16,INTERSTATE BAKERIES reports earnings for 12wks to Nov 15,,"LEAD: *3*** COMPANY REPORTS ** *3*INTERSTATE BAKERIES (NYSE) 12wks to Nov 15 1986 1985 Sales 172,219,000 167,668,000 Net inc b3,486,000 c3,922,000 Share earns .45 .53 24wk sales 341,919,000 334,537,000 Net inc b6,546,000 c5,753,000 Share earns .85 .77",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71138F932A35752C0A961948260,122,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000016.xml,"('NEGATIVE', 0.9856350421905518)",NEGATIVE,0.9856350421905518
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*MSI ELECTRONICS (OTC) Year to Sept 30 1986 1985 Sales 2,533,615 2,513,423 Net inc b580,521 376,227 Share earns .43 .27 b-Includes a gain of 7 cents a share on the sale of certain operations. *3*** COMPANY REPORTS ** *3*MSI ELECTRONICS (OTC) Year to Sept 30 1986 1985 Sales 2,533,615 2,513,423 Net inc b580,521 376,227 Share earns .43 .27 b-Includes a gain of 7 cents a share on the sale of certain operations.",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,17,MSI ELECTRONICS reports earnings for Year to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*MSI ELECTRONICS (OTC) Year to Sept 30 1986 1985 Sales 2,533,615 2,513,423 Net inc b580,521 376,227 Share earns .43 .27 b-Includes a gain of 7 cents a share on the sale of certain operations.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71E38F932A35752C0A961948260,46,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000017.xml,"('NEGATIVE', 0.9800682067871094)",NEGATIVE,0.9800682067871094
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*NATIONAL SEMICONDUCTOR (NYSE) 12wk to Dec 14 1986 1985 Sales 456,800,000 349,200,000 Net loss 5,700,000 b38,300,000 Shares outst 91,200,000 89,500,000 28wk sales 957,900,000 758,000,000 Net loss 7,100,000 b45,000,000 Shares outst 91,000,000 89,400,000 *3*** COMPANY REPORTS ** *3*NATIONAL SEMICONDUCTOR (NYSE) 12wk to Dec 14 1986 1985 Sales 456,800,000 349,200,000 Net loss 5,700,000 b38,300,000 Shares outst 91,200,000 89,500,000 28wk sales 957,900,000 758,000,000 Net loss 7,1",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,18,NATIONAL SEMICONDUCTOR reports earnings for 12wk to Dec 14,,"LEAD: *3*** COMPANY REPORTS ** *3*NATIONAL SEMICONDUCTOR (NYSE) 12wk to Dec 14 1986 1985 Sales 456,800,000 349,200,000 Net loss 5,700,000 b38,300,000 Shares outst 91,200,000 89,500,000 28wk sales 957,900,000 758,000,000 Net loss 7,100,000 b45,000,000 Shares outst 91,000,000 89,400,000",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71F38F932A35752C0A961948260,148,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000018.xml,"('NEGATIVE', 0.9898179173469543)",NEGATIVE,0.9898179173469543
,,,,,"LEAD: *3*** COMPANY REPORTS ** *3*PREMIER RESOURCES LTD (AMEX) Qtr to Sept 30 1986 1985 Revenue 708,000 1,800,000 Net loss b1,374,000 c2,452,000 Yr rev 3,863,000 6,373,000 Net loss b2,131,000 c3,550,000 b-After a loss on disposal of discontinued operations of $713,000 for the quarter and the year. *3*** COMPANY REPORTS ** *3*PREMIER RESOURCES LTD (AMEX) Qtr to Sept 30 1986 1985 Revenue 708,000 1,800,000 Net loss b1,374,000 c2,452,000 Yr rev 3,863,000 6,373,000 Net loss b2,131,000 c3,550,000 b-After a loss o",,,3,,,The New York Times,,Thursday,COMPANY REPORTS,,,19,PREMIER RESOURCES LTD reports earnings for Qtr to Sept 30,,"LEAD: *3*** COMPANY REPORTS ** *3*PREMIER RESOURCES LTD (AMEX) Qtr to Sept 30 1986 1985 Revenue 708,000 1,800,000 Net loss b1,374,000 c2,452,000 Yr rev 3,863,000 6,373,000 Net loss b2,131,000 c3,550,000 b-After a loss on disposal of discontinued operations of $713,000 for the quarter and the year.",,,Financial Desk,,,,,,,,Business,,,44,,19870101T000000,1,1,1987,1,,,,,,http://query.nytimes.com/gst/fullpage.html?res=9D05E0D7163BF932A35752C0A961948260,92,C:\\Users\\gsood\\Dropbox\\data\\nyt\\nytextract\\1987\01\01\0000019.xml,"('NEGATIVE', 0.9975991249084473)",NEGATIVE,0.9975991249084473
